Country,srcYear,srcMonth,Number of Indian Nationals Departures from India,YearCode,Year,MonthCode,Month
India,2020,Aug-2020,211511,2020,"Calendar Year (Jan - Dec), 2020",202008,"August, 2020"
India,2020,May-2020,22912,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020"
India,2020,Sep-2020,304780,2020,"Calendar Year (Jan - Dec), 2020",202009,"September, 2020"
India,2018,May-2018,2521860,2018,"Calendar Year (Jan - Dec), 2018",201805,"May, 2018"
India,2020,Apr-2020,6533,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
India,2018,Aug-2018,2272537,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018"
India,2020,Jul-2020,135227,2020,"Calendar Year (Jan - Dec), 2020",202007,"July, 2020"
India,2018,Oct-2018,2074788,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018"
India,2018,Jul-2018,2150580,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018"
India,2018,Jun-2018,2054526,2018,"Calendar Year (Jan - Dec), 2018",201806,"June, 2018"
India,2021,Apr-2021,634663,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
India,2021,Aug-2021,661188,2021,"Calendar Year (Jan - Dec), 2021",202108,"August, 2021"
India,2020,Oct-2020,372362,2020,"Calendar Year (Jan - Dec), 2020",202010,"October, 2020"
India,2021,Sep-2021,962026,2021,"Calendar Year (Jan - Dec), 2021",202109,"September, 2021"
India,2018,Sep-2018,2434217,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018"
India,2021,Dec-2021,1427843,2021,"Calendar Year (Jan - Dec), 2021",202112,"December, 2021"
India,2020,Feb-2020,1983289,2020,"Calendar Year (Jan - Dec), 2020",202002,"February, 2020"
India,2018,Jan-2018,2238035,2018,"Calendar Year (Jan - Dec), 2018",201801,"January, 2018"
India,2020,Dec-2020,575516,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020"
India,2018,Apr-2018,2321632,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
India,2018,Dec-2018,2201124,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
India,2021,Jun-2021,150717,2021,"Calendar Year (Jan - Dec), 2021",202106,"June, 2021"
India,2020,Mar-2020,851332,2020,"Calendar Year (Jan - Dec), 2020",202003,"March, 2020"
India,2020,Jun-2020,68802,2020,"Calendar Year (Jan - Dec), 2020",202006,"June, 2020"
India,2018,Feb-2018,1839947,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
India,2020,Nov-2020,409155,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020"
India,2021,Jul-2021,223956,2021,"Calendar Year (Jan - Dec), 2021",202107,"July, 2021"
India,2018,Nov-2018,2087972,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018"
India,2021,May-2021,154873,2021,"Calendar Year (Jan - Dec), 2021",202105,"May, 2021"
India,2021,Nov-2021,1188345,2021,"Calendar Year (Jan - Dec), 2021",202111,"November, 2021"
India,2020,Jan-2020,2353147,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020"
India,2021,Feb-2021,653071,2021,"Calendar Year (Jan - Dec), 2021",202102,"February, 2021"
India,2019,Jul-2019,2180437,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019"
India,2022,Apr-2022,1445197,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022"
India,2019,Jan-2019,2309062,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019"
India,2019,Aug-2019,2351701,2019,"Calendar Year (Jan - Dec), 2019",201908,"August, 2019"
India,2021,Jan-2021,689366,2021,"Calendar Year (Jan - Dec), 2021",202101,"January, 2021"
India,2019,Feb-2019,1992487,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019"
India,2019,Mar-2019,2203115,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019"
India,2019,Apr-2019,2292018,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
India,2019,May-2019,2384815,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019"
India,2022,May-2022,1902565,2022,"Calendar Year (Jan - Dec), 2022",202205,"May, 2022"
India,2019,Nov-2019,2147330,2019,"Calendar Year (Jan - Dec), 2019",201911,"November, 2019"
India,2022,Feb-2022,1133185,2022,"Calendar Year (Jan - Dec), 2022",202202,"February, 2022"
India,2019,Sep-2019,2354445,2019,"Calendar Year (Jan - Dec), 2019",201909,"September, 2019"
India,2022,Mar-2022,1467055,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
India,2022,Jan-2022,1275921,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
India,2021,Mar-2021,709010,2021,"Calendar Year (Jan - Dec), 2021",202103,"March, 2021"
India,2022,Jun-2022,1868979,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022"
India,2019,Jun-2019,2198582,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019"
India,2019,Dec-2019,2355977,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
India,2019,Oct-2019,2145065,2019,"Calendar Year (Jan - Dec), 2019",201910,"October, 2019"
India,2021,Oct-2021,1096257,2021,"Calendar Year (Jan - Dec), 2021",202110,"October, 2021"
India,2018,Mar-2018,2099266,2018,"Calendar Year (Jan - Dec), 2018",201803,"March, 2018"
