Country,srcYear,Number of Domestic Tourist Visits to all States or UTs in India,YearCode,Year
India,2007,526.7,2007,"Calendar Year (Jan - Dec), 2007"
India,2000,220.11,2000,"Calendar Year (Jan - Dec), 2000"
India,2017,1657.55,2017,"Calendar Year (Jan - Dec), 2017"
India,2013,1142.53,2013,"Calendar Year (Jan - Dec), 2013"
India,2003,309.04,2003,"Calendar Year (Jan - Dec), 2003"
India,2020,610.22,2020,"Calendar Year (Jan - Dec), 2020"
India,2014,1282.8,2014,"Calendar Year (Jan - Dec), 2014"
India,2009,668.8,2009,"Calendar Year (Jan - Dec), 2009"
India,2012,1045.05,2012,"Calendar Year (Jan - Dec), 2012"
India,2018,1853.79,2018,"Calendar Year (Jan - Dec), 2018"
India,2010,747.7,2010,"Calendar Year (Jan - Dec), 2010"
India,2005,392.04,2005,"Calendar Year (Jan - Dec), 2005"
India,2021,677.63,2021,"Calendar Year (Jan - Dec), 2021"
India,2004,366.27,2004,"Calendar Year (Jan - Dec), 2004"
India,2006,462.44,2006,"Calendar Year (Jan - Dec), 2006"
India,2008,563.03,2008,"Calendar Year (Jan - Dec), 2008"
India,2019,2321.98,2019,"Calendar Year (Jan - Dec), 2019"
India,2011,864.53,2011,"Calendar Year (Jan - Dec), 2011"
India,2002,269.6,2002,"Calendar Year (Jan - Dec), 2002"
India,2001,236.47,2001,"Calendar Year (Jan - Dec), 2001"
India,2015,1431.97,2015,"Calendar Year (Jan - Dec), 2015"
India,2016,1615.39,2016,"Calendar Year (Jan - Dec), 2016"
