Country,srcYear,Destination Country,Number of Indian Nationals Departures (IND),YearCode,Year
India,2020,Others,1884871,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,KUWAIT,191205,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,CANADA,227258,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,THAILAND,235584,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,UNITED KINGDOM,259482,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,OMAN,280673,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,SINGAPORE,289287,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,QATAR,305421,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,SAUDI ARABIA,550353,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,UNITED STATES OF AMERICA,592901,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,UNITED ARAB EMIRATES,2477531,2020,"Calendar Year (Jan - Dec), 2020"
India,2021,Others,1535664,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,KUWAIT,207619,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,BAHRAIN,208321,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,CANADA,259700,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,SAUDI ARABIA,269327,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,MALDIVES,317202,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,UNITED KINGDOM,348105,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,OMAN,407667,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,QATAR,671924,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,UNITED STATES OF AMERICA,695906,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,UNITED ARAB EMIRATES,3629880,2021,"Calendar Year (Jan - Dec), 2021"
