Country,srcYear,srcMonth,Foreign Tourist Arrivals (FTA) in India,Foreign Exchange Earnings (FEE) from tourism in India Rs in Crores,Comments,YearCode,Year,MonthCode,Month
India,2020,Aug - 2020,19761,479,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202008,"August, 2020"
India,2020,May - 2020,3764,94,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020"
India,2020,Sep - 2020,28167,686,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202009,"September, 2020"
India,2020,Apr - 2020,2820,71,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
India,2018,Aug - 2018,785993,16492,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018"
India,2020,Jul - 2020,12655,307,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202007,"July, 2020"
India,2018,Oct - 2018,890223,14701,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018"
India,2018,Jul - 2018,806493,16976,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018"
India,2018,Jun - 2018,683935,14398,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201806,"June, 2018"
India,2020,Oct - 2020,41494,831,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202010,"October, 2020"
India,2018,Sep - 2018,719894,15150,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018"
India,2020,Feb - 2020,1018440,18241,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202002,"February, 2020"
India,2020,Dec - 2020,90544,1776,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020"
India,2018,Dec - 2018,1191498,19474,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
India,2020,Mar - 2020,328304,5830,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202003,"March, 2020"
India,2020,Jun - 2020,8590,208,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202006,"June, 2020"
India,2020,Nov - 2020,70977,1413,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020"
India,2018,Nov - 2018,1012569,16584,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018"
India,2020,Jan - 2020,1119250,20200,Foreign Exchange Estimates #1 : Provisional Estimates,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020"
India,2019,Jul - 2019,818125,18205,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019"
India,2018,May - 2018,606513,12752,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201805,"May, 2018"
India,2019,Jan - 2019,1111040,18205,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019"
India,2019,Aug - 2019,800837,17867,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201908,"August, 2019"
India,2019,Feb - 2019,1090516,17959,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019"
India,2019,Mar - 2019,978236,16214,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019"
India,2019,Apr - 2019,774651,17134,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
India,2019,May - 2019,615136,13642,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019"
India,2019,Nov - 2019,1092440,19840,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201911,"November, 2019"
India,2018,Jan - 2018,1045027,17755,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201801,"January, 2018"
India,2019,Sep - 2019,751513,16824,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201909,"September, 2019"
India,2018,Apr - 2018,745033,15620,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
India,2019,Jun - 2019,726446,16083,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019"
India,2019,Dec - 2019,1226398,22631,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
India,2018,Feb - 2018,1049259,17757,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018"
India,2019,Oct - 2019,945017,17057,Foreign Exchange Estimates #2 : Revised Estimates,2019,"Calendar Year (Jan - Dec), 2019",201910,"October, 2019"
India,2018,Mar - 2018,1021539,17222,Foreign Exchange Estimates #2 : Revised Estimates,2018,"Calendar Year (Jan - Dec), 2018",201803,"March, 2018"
